시군구코드,시군구명,"WGS84좌표, X좌표값","WGS84좌표, Y좌표값",조사일시,월요일,화요일,수요일,목요일,금요일,토요일,일요일,1~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60세이상,1~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60세이상,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
41590,화성시,126.864395,37.1121,201509,0.034367255,0.043815201,0.047342934,0.040071675,0.036515795,0.025876301,0.021870071,0.000403438,0.000562936,0.003030473,0.005563686,0.009307212,0.01244089,0.014110934,0.019580797,0.013482322,0.011502663,0.013660585,0.000656759,0.001285371,0.003105531,0.008772422,0.009888913,0.004569165,0.009363505,0.011605868,0.00744014,0.009410417,0.011455752,0.002242363,0.001623133,0.001557457,0.001200931,0.001566839,0.002411243,0.004766193,0.007214966,0.009663738,0.013538616,0.017516698,0.019768443,0.01888651,0.02008744,0.01888651,0.020528407,0.018023341,0.017601139,0.014664488,0.012572242,0.009523004,0.006830293,0.005038279,0.004146963
41590,화성시,126.90535,37.301094,201509,0.244387704,0.312273178,0.338419167,0.282900948,0.288009162,0.252654945,0.19680066,0.019424655,0.021777122,0.060424793,0.067952687,0.095308516,0.093695396,0.106667571,0.125151239,0.132343066,0.090670796,0.130461093,0.018282028,0.019424655,0.058744459,0.085226515,0.075615008,0.077698621,0.079244528,0.124411892,0.131536506,0.086234715,0.136711934,0.021104989,0.011762335,0.007124614,0.004906574,0.006250841,0.009141014,0.019827935,0.045301791,0.081059288,0.09799705,0.112515131,0.115405305,0.10384461,0.108952824,0.110700371,0.111439718,0.125218452,0.165143176,0.182484218,0.166151376,0.119908599,0.087444555,0.059685446,0.042075551
41590,화성시,127.07418,37.190853,201509,0.197313841,0.252655881,0.273822878,0.218661925,0.235553269,0.170845034,0.132565364,0.063541234,0.055432584,0.022394361,0.024134804,0.034024138,0.049849084,0.066820911,0.076106623,0.038873231,0.040362164,0.051529164,0.075935597,0.085925535,0.027152912,0.029396372,0.048822927,0.109034182,0.139054296,0.095120704,0.05980884,0.034517095,0.048239426,0.019346072,0.012364182,0.009014083,0.006740441,0.006780683,0.010271628,0.015965791,0.033460757,0.066106626,0.074004008,0.087152899,0.085261551,0.079527146,0.093078451,0.10004022,0.105090521,0.115352088,0.122847056,0.116106615,0.092303803,0.07657946,0.067293748,0.052414476,0.034315888
41590,화성시,127.061905,37.223236,201509,69.1125147,91.99006107,99.19862675,87.58772429,83.80088008,49.10378969,32.91320511,4.298016008,6.958195819,18.35002466,38.64041576,41.22757103,43.86688669,38.94294602,33.32005614,29.50191571,17.80755662,13.02966503,7.375478927,6.102765449,15.96107887,19.84181177,23.30526156,26.61223019,18.64212283,21.59440082,16.31576951,9.534919009,14.08330488,5.351655855,2.931413831,2.117711771,1.230985167,1.199688934,2.399377869,7.281590228,14.94916733,22.59588028,26.38272448,29.77314973,37.00257957,37.70152877,37.26338151,35.6777057,35.17696597,34.90573195,40.73726338,39.8401047,30.97283866,22.72106521,20.55119305,15.14737681,9.795720951
41590,화성시,127.10153,37.21696,201509,0.037397563,0.049127372,0.051661544,0.045629918,0.045214966,0.020303016,0.012003973,0.000674297,0.000985511,0.006098315,0.031173281,0.031654922,0.028261206,0.025712214,0.020562362,0.013789749,0.009306784,0.009054849,0.00054833,0.001971023,0.008024878,0.007150515,0.006394709,0.006194643,0.00742468,0.009195636,0.009217866,0.004616343,0.005075754,0.000955872,0.000874363,0.00051128,0.000385313,0.000251935,0.001378234,0.002356335,0.006090905,0.011692759,0.019021111,0.020918035,0.02062164,0.01691671,0.020747608,0.020384525,0.021214429,0.02065869,0.022800139,0.020777247,0.01162607,0.007676615,0.007224614,0.003875357,0.002378565
41590,화성시,126.70948,37.20249,201509,3.695356615,4.673941792,4.972112101,4.231085563,3.973974772,3.122478579,2.283691284,0.046925163,0.1808574,0.094827934,0.392998243,0.922861546,0.825100789,1.234718361,3.012986531,2.256318272,2.432287634,2.5828392,0.131977022,0.158372426,0.166193287,0.255155576,0.234625817,0.221916918,0.797727777,0.97369714,1.509426088,0.638377743,1.39993404,0.182812616,0.134909845,0.127088984,0.098738365,0.109492048,0.197476729,0.45849795,1.050928138,1.220054247,1.697126742,2.081326517,2.123363642,2.24067655,1.956192748,1.929797343,2.048087859,1.934685381,2.026580493,1.458590494,1.270889841,0.967831494,0.811414283,0.51910962,0.306968777
41590,화성시,127.07773,37.19514,201509,22.80519121,32.21307688,33.8065765,26.85415466,28.07905117,18.56909079,14.06362656,4.499793416,5.387276302,2.790042043,4.888244392,5.577248677,9.280292282,9.121509402,9.776488784,8.012864647,6.955257247,7.091356859,4.406224933,6.941080204,4.964800424,6.220886425,7.014800827,13.3831285,15.58907637,12.80754056,7.933473207,5.702006654,7.363556082,1.947925694,0.969709734,0.686168876,0.343084438,0.175795332,0.374273933,1.905394566,3.464869285,6.702905883,8.772754147,11.12047245,10.6753133,10.91915844,12.7224783,13.22434562,12.52116429,13.47669698,14.74696002,14.86888259,11.2367242,8.852145587,7.749171649,5.625450623,3.308921813
41590,화성시,126.948044,37.21977,201509,30.92894346,39.28537295,41.17885984,35.18182252,35.6596741,22.81143976,17.81789076,4.390261384,3.936302384,10.26783581,6.618244372,10.9069623,11.13991494,10.81736512,11.43259903,12.4301142,6.773546135,10.80541883,6.672002675,6.134419648,7.854685333,7.723276149,8.093611123,8.033879675,10.97266689,14.40722511,12.62125484,8.015960241,12.07172552,2.227982988,1.099058632,0.519663592,0.453959,0.418120132,0.782481961,1.881540593,4.838247239,8.870119939,12.61528169,13.83977636,14.28178907,13.1110527,15.82286042,17.50728723,15.69145123,16.90399961,19.3052038,17.35795861,13.37387107,10.69790223,9.903473979,6.731734122,4.629187174
41590,화성시,126.959015,37.215977,201509,182.5973935,245.2342991,262.3388326,208.3321779,211.9922362,164.4530708,130.6391238,32.05670316,27.10730624,35.21766254,43.01608206,52.32219602,75.47830304,86.45847772,79.85581586,67.20158046,51.70872035,63.03202549,37.33883265,27.72078191,51.05365311,31.2872591,52.71731594,93.39387214,83.79661719,72.33813944,79.94939689,43.53597669,75.28074308,17.71800914,10.21073062,6.280327185,6.020379868,5.417302091,7.704838483,14.00596145,26.96173575,60.12061553,75.59267986,89.83779284,92.4580618,87.4774712,92.75960069,96.41965891,99.93414664,106.6719811,112.7963399,106.8903369,88.38208787,71.70386799,58.4673506,42.93289892,28.82295854
41590,화성시,126.87201,37.235725,201509,61.22857989,79.42889994,85.18029429,71.81552663,77.27795303,54.13488281,44.58029738,2.885018722,8.731958927,11.27208042,16.13326705,22.28548792,26.42425468,30.77275624,36.45889977,40.16654499,30.15520377,37.51223455,2.33737785,9.046561131,5.732751257,6.560038532,9.088508091,10.64986717,14.70474001,19.97607471,20.1531841,14.94243946,21.63297964,4.28791151,3.383721474,2.617024253,2.33737785,2.551773426,3.859120359,7.764848451,14.03824942,22.16197742,28.75464137,31.39496949,31.8657076,29.08555628,29.23703141,30.7098358,33.0029363,37.53553842,42.55053057,39.46043782,28.70570325,19.71740178,13.84715771,8.655056167,6.121925835
